Date,StockCode,ATC,Floor,MainIndex,PSGD
2023-04-28,SRA,3.5,HNX,NULL,CHIU
2023-04-28,KSD,5.8,HNX,NULL,CHIU
2023-04-28,HUT,16.1,HNX,HNX30,CHIU
2023-04-28,SDU,28.0,HNX,NULL,CHIU
2023-04-28,PEN,6.7,HNX,NULL,CHIU
2023-04-28,PCT,6.8,HNX,NULL,CHIU
2023-04-28,HHC,78.0,HNX,NULL,CHIU
2023-04-28,PSI,7.0,HNX,NULL,CHIU
2023-04-28,GLT,20.6,HNX,NULL,CHIU
2023-04-28,HTC,22.5,HNX,NULL,CHIU
2023-04-28,S99,9.8,HNX,NULL,CHIU
2023-04-28,ARM,45.0,HNX,NULL,CHIU
2023-04-28,BLF,3.2,HNX,NULL,CHIU
2023-04-28,SZB,29.1,HNX,NULL,CHIU
2023-04-28,NTP,34.7,HNX,NULL,CHIU
2023-04-28,ATS,11.9,HNX,NULL,CHIU
2023-04-28,BXH,12.6,HNX,NULL,CHIU
2023-04-28,L62,3.7,HNX,NULL,CHIU
2023-04-28,PTD,15.7,HNX,NULL,CHIU
2023-04-28,LHC,50.8,HNX,HNX30,CHIU
2023-04-28,SSM,7.3,HNX,NULL,CHIU
2023-04-28,DAD,18.0,HNX,NULL,CHIU
2023-04-28,TNG,19.7,HNX,HNX30,CHIU
2023-04-28,DST,4.0,HNX,NULL,CHIU
2023-04-28,SBT,17.0,HOSE,VN30,CHIU
2023-04-28,GMC,8.86,HOSE,NULL,CHIU
2023-04-28,D11,12.4,HNX,NULL,CHIU
2023-04-28,CCI,24.4,HOSE,NULL,CHIU
2023-04-28,PVG,8.1,HNX,NULL,CHIU
2023-04-28,VGP,23.6,HNX,NULL,CHIU
2023-04-28,FUEKIVFS,9.27,HOSE,NULL,CHIU
2023-04-28,BWE,43.0,HOSE,NULL,CHIU
2023-04-28,NNC,17.9,HOSE,NULL,CHIU
2023-04-28,TEG,8.7,HOSE,NULL,CHIU
2023-04-28,C47,7.55,HOSE,NULL,CHIU
2023-04-28,L18,29.5,HNX,NULL,CHIU
2023-04-28,CTR,66.5,HOSE,NULL,CHIU
2023-04-28,KDH,29.8,HOSE,VN30,CHIU
2023-04-28,VHC,60.3,HOSE,NULL,CHIU
2023-04-28,TVT,23.5,HOSE,NULL,CHIU
2023-04-28,S4A,35.3,HOSE,NULL,CHIU
2023-04-28,GMX,22.3,HNX,NULL,CHIU
2023-04-28,HSL,5.43,HOSE,NULL,CHIU
2023-04-28,SGD,21.3,HNX,NULL,CHIU
2023-04-28,VNF,9.0,HNX,NULL,CHIU
2023-04-28,VC2,8.2,HNX,NULL,CHIU
2023-04-28,THS,11.4,HNX,NULL,CHIU
2023-04-28,TRC,26.8,HOSE,NULL,CHIU
2023-04-28,PAN,18.6,HOSE,NULL,CHIU
2023-04-28,MST,4.1,HNX,NULL,CHIU
2023-04-28,PDR,14.15,HOSE,VN30,CHIU
2023-04-28,SGT,11.75,HOSE,NULL,CHIU
2023-04-28,TTA,8.75,HOSE,NULL,CHIU
2023-04-28,PGI,26.95,HOSE,NULL,CHIU
2023-04-28,CHP,24.4,HOSE,NULL,CHIU
2023-04-28,SD6,3.0,HNX,NULL,CHIU
2023-04-28,SHA,3.95,HOSE,NULL,CHIU
2023-04-28,BIC,29.2,HOSE,NULL,CHIU
2023-04-28,KOS,37.85,HOSE,NULL,CHIU
2023-04-28,SFG,8.37,HOSE,NULL,CHIU
2023-04-28,HQC,4.52,HOSE,NULL,CHIU
2023-04-28,SHS,10.1,HNX,HNX30,CHIU
2023-04-28,TBC,34.9,HOSE,NULL,CHIU
2023-04-28,TVC,4.9,HNX,HNX30,CHIU
2023-04-28,SCD,17.5,HOSE,NULL,CHIU
2023-04-28,DNP,23.3,HNX,NULL,CHIU
2023-04-28,ELC,13.2,HOSE,NULL,CHIU
2023-04-28,ONE,5.0,HNX,NULL,CHIU
2023-04-28,BTP,13.0,HOSE,NULL,CHIU
2023-04-28,SBV,10.45,HOSE,NULL,CHIU
2023-04-28,MSN,73.1,HOSE,VN30,CHIU
2023-04-28,HJS,34.7,HNX,NULL,CHIU
2023-04-28,TCH,7.84,HOSE,VN30,CHIU
2023-04-28,HAH,41.0,HOSE,NULL,CHIU
2023-04-28,SD4,2.7,HNX,NULL,CHIU
2023-04-28,FIT,4.37,HOSE,NULL,CHIU
2023-04-28,VE2,6.5,HNX,NULL,CHIU
2023-04-28,KHP,9.39,HOSE,NULL,CHIU
2023-04-28,FID,1.5,HNX,NULL,CHIU
2023-04-28,SCI,9.4,HNX,NULL,CHIU
2023-04-28,TDM,38.1,HOSE,NULL,CHIU
2023-04-28,TTE,10.2,HOSE,NULL,CHIU
2023-04-28,UIC,32.5,HOSE,NULL,CHIU
2023-04-28,VCA,9.28,HOSE,NULL,CHIU
2023-04-28,VNS,18.2,HOSE,NULL,CHIU
2023-04-28,TSC,3.7,HOSE,NULL,CHIU
2023-04-28,KBC,25.8,HOSE,NULL,CHIU
2023-04-28,PLP,4.4,HOSE,NULL,CHIU
2023-04-28,SSB,31.95,HOSE,NULL,CHIU
2023-04-28,CCL,6.15,HOSE,NULL,CHIU
2023-04-28,VIB,20.5,HOSE,NULL,CHIU
2023-04-28,MAC,8.3,HNX,NULL,CHIU
2023-04-28,DQC,17.9,HOSE,NULL,CHIU
2023-04-28,SMT,9.7,HNX,NULL,CHIU
2023-04-28,SGR,17.0,HOSE,NULL,CHIU
2023-04-28,ADG,34.8,HOSE,NULL,CHIU
2023-04-28,GTA,13.5,HOSE,NULL,CHIU
2023-04-28,TN1,17.0,HOSE,NULL,CHIU
2023-04-28,PDN,148.1,HOSE,NULL,CHIU
2023-04-28,HT1,13.75,HOSE,NULL,CHIU
2023-04-28,HTL,18.9,HOSE,NULL,CHIU
2023-04-28,AGR,11.5,HOSE,NULL,CHIU
2023-04-28,VNE,10.8,HOSE,NULL,CHIU
2023-04-28,AAA,10.5,HOSE,NULL,CHIU
2023-04-28,IVS,5.8,HNX,NULL,CHIU
2023-04-28,GMD,52.6,HOSE,NULL,CHIU
